run_name,run_start_datetime,weather_desc,social_type,route_id
Treadmill,2024-09-03 17:00:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-09 17:00:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-11 17:00:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-15 22:00:00,Indoor Treadmill,Solo,NULL
Treadmill my first 5k,2024-09-16 17:00:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-17 17:00:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-18 17:00:00,Indoor Treadmill,Solo,NULL
David and Jim Friday 5k Run,2024-09-20 15:45:00,Warm Sunny,Partner,1
Treadmill,2024-09-25 12:15:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-26 12:15:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-09-27 12:15:00,Indoor Treadmill,Solo,NULL
Nutrience Oakville 2024 10k Charity Run,2024-09-29 07:50:00,Sunny,Race,2
Treadmill my first 10k,2024-09-29 10:10:00,Indoor Treadmill,Solo,NULL
2024-09-30 UW R&M Short,2024-09-30 18:09:00,Sunny,Small Group,3
Treadmill,2024-10-02 17:10:00,Indoor Treadmill,Solo,NULL
2024-10-03 UW R&M Medium,2024-10-03 18:07:00,Sunny,Small Group,4
Treadmill,2024-10-04 16:05:00,Indoor Treadmill,Solo,NULL
Treadmill,2024-10-05 19:00:00,Indoor Treadmill,Solo,NULL
2024-10-07 UW R&M Short,2024-10-07 18:10:00,Sunny Chilly,Small Group,5
Treadmill 15k!,2024-10-08 16:58:00,Indoor Treadmill,Solo,NULL
2024-10-09 UW R&M Beginner,2024-10-09 19:10:00,Cold cloudy sunset 9 celsius,Small Group,6
2024-10-10 UW R&M Medium,2024-10-10 18:10:00,Cold,Small Group,7
Treadmill 10:00 for distance,2024-10-10 19:10:00,Indoor Treadmill,Solo,NULL
Morning Treadmill 10k,2024-10-11 07:10:00,Indoor Treadmill,Solo,NULL
Evening Fartlek,2024-10-12 06:54:00,Cold sunset,Partner,8
Thanksgiving run,2024-10-13 16:17:00,Lightly raining feels like 6 celsius,Solo,9
Treadmill 5k,2024-10-15 17:10:00,Indoor Treadmill,Solo,NULL
5k!,2024-10-16 17:55:00,clear feels like 7 c,Solo,10
5k! + hill at end,2024-10-17 17:33:00,clear feels like 15 celsius,Solo,11
my first 21k!,2024-10-18 06:25:00,treadmill,Solo,NULL
fall weather,2024-10-20 17:35:00,clear feels like 19 celsius,Solo,11
5k into 5k with UW R&M,2024-10-21 17:46:00,clear feels like 23 celsius,Small Group,12
Treadmill Mile,2024-10-21-18:47:00,treadmill,Solo,NULL
work to cindy's!,2024-10-22 16:43:00,cloudy feels like 23 c carrying shoes,Solo,13
